0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.9901,-3.9482,-2.0361,-1.0997,-2.9412,-5.0761,-5.1178,-5.0415,-0.99502,-2.1333,-1.0774,-4.0325,15.74,12.06,13.065,14.859, 15.74000.1,16.332,26.536
-3.9604,-2.9773,-4.0066,-4.1924,-5.8824,-4.0609,-2.0875,-14.992,-2.9851,-6.1333,-1.0774,1.8211,20.618,11.055,9.0452,12.869,15.74,24.944,36.34
-6.9307,-8.8026,-4.0066,-12.44,-15.686,-14.213,-11.178,-8.0265,-13.93,-19.133,-15.219,-9.8862,14.764,-1.005,-8.0402,-6.0365,-2.7967,15.375,16.732
-4.9505,-8.8026,0.91954,-11.409,-18.627,-19.289,-16.229,6.8988,-16.915,-27.133,-25.32,-18.667,7.935,-9.0452,-21.106,-20.962,-18.407,2.9346,-5.817
-0.9901,-6.8608,5.8456,-5.2234,-12.745,-17.259,-16.229,15.854,-12.935,-25.133,-24.31,-16.715,7.935,-11.055,-25.126,-26.932,-28.163,1.0207,-13.66
-0.9901,-4.9191,3.8752,-5.2234,-11.765,-14.213,-13.199,2.9187,-13.93,-26.133,-22.29,-11.837,8.9106,-16.08,-31.156,-32.902,-36.943,-1.8501,-23.464
0.0,-2.9773,3.8752,-5.2234,-8.8235,-9.1371,-9.1582,-0.06634,-12.935,-22.133,-17.239,-12.813,5.0081,-15.075,-29.146,-31.907,-39.87,-5.6778,-24.444
3.9604,2.8479,6.8309,4.055,1.9608,2.0305,-2.0875,3.9138,0.99502,-7.1333,-1.0774,-7.935,12.813,-3.0151,-11.055,-13.997,-24.26,6.7624,-13.66
3.9604,5.7605,2.89,5.0859,4.902,6.0914,2.963,-5.0415,1.99,1.8667,7.0034,-1.1057,2.0813,-3.0151,-2.0101,-5.0415,-18.407,-2.807,-15.621
1.9802,1.877,-1.0509,-2.1306,0.0,1.0152,-1.0774,-14.992,-0.99502,0.86667,2.963,-5.0081,-9.626,-7.0352,-3.0151,-8.0265,-21.333,-23.86,-32.288
1.9802,0.90615,-0.06568,0.9622,1.9608,3.0457,-0.06734,-12.007,9.9502,10.867,11.044,-0.13008,5.0081,11.055,11.055,3.9138,-6.6992,-17.161,-25.425
0.9901,1.877,-4.9918,0.9622,5.8824,6.0914,1.9529,-11.012,13.93,15.867,18.114,3.7724,10.862,19.095,20.101,17.844,16.715,-9.5056,-8.7582
-5.9406,-4.9191,-12.874,-7.2852,-3.9216,-3.0457,-5.1178,-15.987,0.99502,4.8667,9.0236,-1.1057,8.9106,11.055,13.065,15.854,23.545,-6.6348,2.0261
-8.9109,-11.715,-12.874,-13.471,-11.765,-11.168,-13.199,-18.972,-7.9602,-7.1333,-1.0774,-6.9593,13.789,8.0402,7.0352,10.879,23.545,4.8485,8.8889
-9.901,-13.657,-9.9179,-13.471,-14.706,-13.198,-16.229,-14.992,-11.94,-13.133,-8.1481,-2.0813,15.74,7.0352,4.0201,7.8939,22.569,13.461,16.732
-10.891,-13.657,-10.903,-14.502,-15.686,-14.213,-15.219,-12.007,-15.92,-17.133,-11.178,-3.0569,14.764,1.005,0.0,4.9088,22.569,21.116,24.575
-13.861,-15.599,-11.888,-21.718,-22.549,-18.274,-19.259,-13.997,-28.856,-29.133,-19.259,-16.715,4.0325,-16.08,-14.07,-7.0315,12.813,13.461,18.693
-13.861,-15.599,-10.903,-23.78,-24.51,-21.32,-20.269,-16.982,-30.846,-33.133,-23.3,-13.789,-0.84553,-25.126,-23.116,-14.992,3.0569,9.6332,13.791
-13.861,-15.599,-8.9327,-20.687,-24.51,-21.32,-19.259,-8.0265,-29.851,-33.133,-24.31,-12.813,-6.6992,-30.151,-28.141,-22.952,-5.7236,2.9346,6.9281
